id,enrollment_id,course_class_id,created_at,updated_at
1,1,1,2026-06-23 23:34:29,2026-06-23 23:34:29
2,2,2,2026-06-23 23:34:29,2026-06-23 23:34:29
3,3,3,2026-06-23 23:34:29,2026-06-23 23:34:29
4,4,4,2026-06-23 23:34:29,2026-06-23 23:34:29
5,5,2,2026-06-23 23:34:30,2026-06-23 23:34:30
6,6,3,2026-06-23 23:34:30,2026-06-23 23:34:30
7,7,5,2026-06-23 23:34:30,2026-06-23 23:34:30
8,8,5,2026-06-23 23:34:30,2026-06-23 23:34:30
9,9,3,2026-06-23 23:34:30,2026-06-23 23:34:30
10,10,4,2026-06-23 23:34:30,2026-06-23 23:34:30
11,11,6,2026-06-23 23:34:30,2026-06-23 23:34:30
12,12,5,2026-06-23 23:34:30,2026-06-23 23:34:30
13,13,2,2026-06-23 23:34:30,2026-06-23 23:34:30
14,14,6,2026-06-23 23:34:30,2026-06-23 23:34:30
15,15,6,2026-06-23 23:34:30,2026-06-23 23:34:30
16,16,3,2026-06-23 23:34:30,2026-06-23 23:34:30
17,17,5,2026-06-23 23:34:30,2026-06-23 23:34:30
18,18,3,2026-06-23 23:34:30,2026-06-23 23:34:30
19,19,2,2026-06-23 23:34:30,2026-06-23 23:34:30
20,20,6,2026-06-23 23:34:30,2026-06-23 23:34:30
21,21,1,2026-06-23 23:34:30,2026-06-23 23:34:30
22,22,6,2026-06-23 23:34:31,2026-06-23 23:34:31
23,23,5,2026-06-23 23:34:31,2026-06-23 23:34:31
24,24,4,2026-06-23 23:34:31,2026-06-23 23:34:31
25,25,3,2026-06-23 23:34:31,2026-06-23 23:34:31
26,26,3,2026-06-23 23:34:31,2026-06-23 23:34:31
27,27,6,2026-06-23 23:34:31,2026-06-23 23:34:31
28,28,3,2026-06-23 23:34:31,2026-06-23 23:34:31
29,29,1,2026-06-23 23:34:31,2026-06-23 23:34:31
30,30,1,2026-06-23 23:34:31,2026-06-23 23:34:31
31,31,4,2026-06-23 23:34:31,2026-06-23 23:34:31
32,32,3,2026-06-23 23:34:31,2026-06-23 23:34:31
33,33,6,2026-06-23 23:34:31,2026-06-23 23:34:31
34,34,5,2026-06-23 23:34:31,2026-06-23 23:34:31
35,35,2,2026-06-23 23:34:31,2026-06-23 23:34:31
36,36,6,2026-06-23 23:34:31,2026-06-23 23:34:31
37,37,6,2026-06-23 23:34:31,2026-06-23 23:34:31
38,38,3,2026-06-23 23:34:31,2026-06-23 23:34:31
39,39,4,2026-06-23 23:34:32,2026-06-23 23:34:32
40,40,2,2026-06-23 23:34:32,2026-06-23 23:34:32
41,41,5,2026-06-23 23:34:32,2026-06-23 23:34:32
42,42,3,2026-06-23 23:34:32,2026-06-23 23:34:32
43,43,2,2026-06-23 23:34:32,2026-06-23 23:34:32
44,44,2,2026-06-23 23:34:32,2026-06-23 23:34:32
45,45,6,2026-06-23 23:34:32,2026-06-23 23:34:32
46,46,1,2026-06-23 23:34:32,2026-06-23 23:34:32
47,47,3,2026-06-23 23:34:32,2026-06-23 23:34:32
48,48,5,2026-06-23 23:34:32,2026-06-23 23:34:32
49,49,3,2026-06-23 23:34:32,2026-06-23 23:34:32
50,50,3,2026-06-23 23:34:32,2026-06-23 23:34:32
51,51,1,2026-06-23 23:34:32,2026-06-23 23:34:32
52,52,2,2026-06-23 23:34:32,2026-06-23 23:34:32
53,53,6,2026-06-23 23:34:32,2026-06-23 23:34:32
54,54,4,2026-06-23 23:34:32,2026-06-23 23:34:32
55,55,2,2026-06-23 23:34:32,2026-06-23 23:34:32
56,56,6,2026-06-23 23:34:33,2026-06-23 23:34:33
57,57,5,2026-06-23 23:34:33,2026-06-23 23:34:33
58,58,5,2026-06-23 23:34:33,2026-06-23 23:34:33
59,59,2,2026-06-23 23:34:33,2026-06-23 23:34:33
60,60,6,2026-06-23 23:34:33,2026-06-23 23:34:33
61,61,3,2026-06-23 23:34:33,2026-06-23 23:34:33
62,62,2,2026-06-23 23:34:33,2026-06-23 23:34:33
63,63,3,2026-06-23 23:34:33,2026-06-23 23:34:33
64,64,6,2026-06-23 23:34:33,2026-06-23 23:34:33
65,65,1,2026-06-23 23:34:33,2026-06-23 23:34:33
